"1";"0";"Sheppards Pie";"Ground Beef";".5";"LB";"ground beef"
"2";"0";"Sheppards Pie";"Mixed Veggies";"1.5";"Cups";"mixed veggies"
"3";"0";"Sheppards Pie";"Potatoes";"6";"Units";"potatoes"
"4";"0";"Sheppards Pie";"Mushroom Soup";"1";"Can";"Mushroom Soup"
"5";"0";"Sheppards Pie";"Onion";".5";"Units";"onion"
"7";"0";"Chicken Stirfry";"Chicken";"4";"Units";"chicken"
"8";"0";"Chicken Stirfry";"Egg Noodles";"2";"Cups";"egg noodles"
"9";"0";"Chicken Stirfry";"Frozen Veggies";"2";"Cups";"mixed veggies"
"10";"0";"Chicken Stirfry";"Honey Garlic Sauce";"1";"Cups";"stirfry sauce"
"11";"0";"Tuna Macaroni Salad";"Macaroni";"2";"Cups";"macaroni"
"12";"0";"Tuna Macaroni Salad";"Green Onions";".5";"Cups";"green onions"
"13";"0";"Tuna Macaroni Salad";"Thousand Islands Salad Dressing";"2";"Cups";"thousand islands salad dressing"
"14";"0";"Tuna Macaroni Salad";"Tuna";"1";"Units";"tuna"
"15";"0";"Tuna Macaroni Salad";"Mayonaise";"1.5";"Cups";"mayonaise"
"16";"0";"Tuna Macaroni Salad";"Carrots";"2";"Units";"carrots"
"24";"3";"Sheppards Pie";"Garlic";"2";"Unit";"Garlic"
"34";"0";"Spaghetti";"Pasta Sauce";"1";"unit";"pasta sauce"
"33";"0";"Spaghetti";"Garlic";"1";"unit";"garlic"
"32";"0";"Spaghetti";"Onions";"0.5";"unit";"Onion"
"31";"0";"Spaghetti";"Bell Peppers";"1";"unit";"Peppers"
"30";"0";"Spaghetti";"Ground Beef";"1";"lb";"Ground Beef"
"29";"0";"Spaghetti";"Noodles";"2";"cups";"Spaghetti"
"35";"0";"Spaghetti";"Tomatoe Paste";"1";"unit";"Tomatoe Paste"
"36";"0";"Spaghetti";"Mushrooms";"2";"unit";"Mushrooms"
"39";"0";"BBQ Chicken Drumsticks";"Chicken Drumksticks";"5";"units";"Chicken Drumsticks"
"40";"0";"BBQ Chicken Drumsticks";"Mango Curry Sauce";"0.5";"unit";"Mango Curry Sauce"
"160";"0";"Poormans`s Special";"Frozen Veggies";"1.5";"Cup";"Frozen Veggies"
"159";"0";"Poormans`s Special";"Mushroom Soup";"1";"Can";"Mushroom Soup"
"158";"0";"Poormans`s Special";"Lean Ground Beef";"1";"Package";"Ground Beef"
"105";"0";"Baked Salmon";"Dill";"30";"mL";"Dill"
"65";"0";"Mango Curry Chicken";"Mango Curry Sauce";"0.5";"jar";"mango curry sauce"
"66";"0";"Mango Curry Chicken";"chicken thighs";"4";"units";"chicken thighs"
"67";"0";"Buffalo Style Cauliflower";"Cauliflower";"0.5";"units";"cauliflower"
"68";"0";"Buffalo Style Cauliflower";"Honey";"2";"Tbsp";"honey"
"69";"0";"Buffalo Style Cauliflower";"Flour";"0.5";"cup";"flour"
"70";"0";"Buffalo Style Cauliflower";"Salt";"0.5";"Tsp";"salt"
"71";"0";"Buffalo Style Cauliflower";"Pepper";"0.5";"Tsp";"pepper"
"72";"0";"Buffalo Style Cauliflower";"Garlic Powder";"1";"Tsp";"garlic powder"
"73";"0";"Buffalo Style Cauliflower";"Franks RedHot Buffalo Sauce";"0.25";"cups";"buffalo hot sauce"
"74";"0";"Buffalo Style Cauliflower";"Margerine";"2";"Tbs";"margerine"
"81";"0";"Spaghetti";"Bay Leaves";"3";"units";"bay leaves"
"82";"0";"Spaghetti";"Italian Seasoning";"1";"Tbs";"italian seasoning"
"104";"0";"Baked Salmon";"Lemon Juice";"30";"mL";"Lemon Juice"
"103";"0";"Baked Salmon";"Mayonaise";"0.5";"cup";"Mayonaise"
"102";"0";"Baked Salmon";"Salmon Filet";"2";"units";"Salmon Filet"
"92";"0";"Chow Mein";"Cooking Oil";"1";"tsp";"cooking oil"
"91";"0";"Chow Mein";"Chow Mein Noodles";"7";"oz";"chow mein noodles"
"93";"0";"Chow Mein";"Beef Strips";"1";"cup";"beefstrips"
"97";"0";"Chow Mein";"Onion";"1";"unit";"onion"
"95";"0";"Chow Mein";"Canned Tomatoes";"2";"cups";"canned tomatoes"
"96";"0";"Chow Mein";"Sugar";"2";"tsp";"sugar"
